,ID_CLIENT,AGREEMENT_RK,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_CLOSED,LOAN_NUM_TOTAL
0,106804370,59910150,0,49,1,0,1,2,1,5000.0,1,1
2,106804371,59910230,0,32,1,0,1,3,3,12000.0,1,1
3,106804372,59910525,0,52,1,0,1,4,0,9000.0,1,2
4,106804373,59910803,0,39,1,0,1,1,1,25000.0,1,1
5,106804374,59911781,0,30,1,0,0,0,0,12000.0,1,2
6,106804375,59911784,0,29,1,0,0,0,0,12000.0,1,2
7,106804376,59911832,0,35,1,0,0,1,1,15000.0,2,2
8,106804377,59912034,0,41,1,0,1,0,0,6000.0,1,2
9,106804378,59912560,0,53,1,0,0,2,0,100000.0,1,1
10,106804379,59912659,0,43,1,0,1,0,0,7000.0,1,1
11,106804380,59912692,0,54,1,0,1,2,0,19000.0,1,1
12,106804381,59913108,1,26,1,0,0,0,0,18000.0,1,2
13,106804382,59913134,1,62,0,1,0,3,0,7000.0,1,1
14,106804383,59913205,0,45,1,0,1,3,1,12000.0,1,1
15,106804384,59913395,0,38,1,0,1,0,1,20000.0,1,2
16,106804385,59913542,1,41,1,0,1,0,0,60000.0,1,1
17,106804386,59913603,0,65,0,1,1,2,0,10000.0,1,1
18,106804387,59913652,0,29,1,0,1,1,1,5200.0,1,1
19,106804388,59913736,1,34,1,0,0,0,0,35000.0,1,1
20,106804389,59913985,0,28,1,0,1,0,0,15000.0,1,1
21,106804390,59914132,0,37,1,0,1,1,1,10000.0,1,1
22,106804391,59914133,0,42,1,0,1,1,1,10000.0,1,1
23,106804392,59914282,0,45,1,0,1,3,2,14000.0,1,1
24,106804393,59914348,0,32,1,0,1,0,0,10000.0,1,1
25,106804394,59914507,0,33,1,0,1,1,1,8000.0,1,1
26,106804395,59914532,0,38,1,0,1,1,1,13000.0,1,1
27,106804396,59914562,0,27,1,0,1,0,0,12500.0,1,1
28,106804397,59914760,1,31,1,0,1,1,1,12000.0,1,1
29,106804398,59914815,0,40,1,0,0,1,1,20000.0,1,1
30,106804399,59914912,0,63,0,1,1,0,0,5000.0,1,1
31,106804400,59914934,0,40,1,0,1,3,2,11000.0,1,1
32,106804401,59914938,0,27,1,0,0,1,1,15000.0,1,1
33,106804402,59915134,0,49,1,0,1,2,0,5000.0,1,1
34,106804403,59915164,0,29,1,0,0,0,0,10000.0,1,1
35,106804404,59915192,0,61,1,0,1,0,0,13000.0,1,1
36,106804405,59915193,0,43,1,0,1,2,2,30000.0,1,1
37,106804406,59915275,0,38,1,0,0,0,0,23000.0,2,2
38,106804407,59915302,0,38,1,0,0,4,4,15000.0,1,1
39,106804408,59915312,0,49,1,0,0,2,0,10000.0,1,1
40,106804409,59915340,0,44,1,0,1,0,0,13000.0,1,1
41,106804410,59915354,0,61,0,1,1,2,0,5000.0,1,1
42,106804411,59915402,0,28,1,0,1,1,1,8000.0,2,2
43,106804412,59915484,0,31,1,0,0,1,1,20000.0,1,1
44,106804413,59915500,0,59,0,1,1,0,0,4000.0,1,1
45,106804414,59915564,0,54,1,0,1,2,0,8000.0,1,2
46,106804415,59915634,0,48,1,0,1,2,0,13000.0,1,1
47,106804416,59915800,0,24,1,0,0,0,0,50000.0,1,1
48,106804417,59915970,0,48,1,0,1,0,0,15000.0,1,1
49,106804418,59916060,0,43,1,0,1,1,1,20000.0,1,2
50,106804419,59916079,0,23,1,0,0,1,1,18000.0,1,1
51,106804420,59916196,0,54,1,0,1,2,0,40000.0,1,1
52,106804421,59916537,0,37,1,0,0,1,1,10000.0,1,1
53,106804422,59916782,0,47,1,0,1,0,0,20000.0,1,1
54,106804423,59917047,0,52,0,1,1,1,1,5700.0,2,2
55,106804424,59917064,0,24,1,0,0,0,0,15000.0,2,2
56,106804425,59917071,0,48,1,0,1,0,0,11000.0,1,1
57,106804426,59917104,0,58,0,1,0,2,0,9000.0,1,1
58,106804427,59917205,0,34,1,0,1,0,0,9000.0,1,1
59,106804428,59917790,0,31,1,0,1,0,0,12800.0,1,2
60,106804429,59917807,0,31,1,0,0,1,1,20000.0,1,1
61,106804430,59917814,1,35,1,0,1,1,1,15000.0,1,1
62,106804431,59917902,0,54,0,1,1,2,0,10000.0,1,1
63,106804432,59918129,0,35,1,0,1,1,1,15000.0,1,1
64,106804433,59918141,0,61,0,1,1,2,0,5500.0,1,1
65,106804434,59918142,0,52,1,0,0,0,1,7000.0,1,1
66,106804435,59918152,1,34,1,0,0,2,2,6000.0,1,1
67,106804436,59918243,0,44,1,0,0,3,3,11000.0,1,1
68,106804437,59918315,0,63,0,1,1,2,0,4800.0,1,1
69,106804438,59918616,0,30,1,0,0,0,0,30000.0,1,1
